Date Time,Temp,SpCond,pH,Orp,Turbid+,ODOsat,ODO
M/D/Y HH:MM:SS,C,uS,,mV,NTU,%,mg/L
10/4/14 4:45,12.6,539,9.34,-72.3,49.3,79.7,8.47
10/4/14 5:00,12.56,541,9.65,-77.3,50.7,79.9,8.49
10/4/14 5:15,12.52,542,9.4,-71.4,41.8,80.1,8.52
10/4/14 5:30,12.48,543,9.58,-71.7,44.4,80.3,8.55
10/4/14 5:45,12.45,544,9.46,-69.9,42.9,80.6,8.58
10/4/14 6:00,12.42,545,9.6,-69.3,39.7,80.5,8.58
10/4/14 6:15,12.38,546,9.67,-71.5,39.4,80.9,8.63
10/4/14 6:30,12.35,547,9.71,-70.9,39.1,80.9,8.63
10/4/14 6:45,12.32,548,9.59,-70.1,38.2,81.2,8.68
10/4/14 7:00,12.28,549,9.72,-71,37.8,81.3,8.69
10/4/14 7:15,12.25,550,9.62,-71.8,36.9,81.6,8.73
10/4/14 7:30,12.23,551,9.53,-67.7,36.9,81.8,8.76
10/4/14 7:45,12.2,551,9.4,-64,36,82.1,8.79
10/4/14 8:00,12.18,553,9.27,-60.2,35.2,82.4,8.83
10/4/14 8:15,12.17,554,9.29,-62.6,35,82.7,8.86
10/4/14 8:30,12.15,555,9.21,-61.3,35.1,83,8.9
10/4/14 8:45,12.14,555,9.33,-60.7,34.2,83.3,8.94
10/4/14 9:00,12.14,557,9.47,-65.6,33.2,83.8,8.98
10/4/14 9:15,12.14,557,9.59,-66.5,34,84.1,9.02
10/4/14 9:30,12.13,558,9.57,-68.8,32.3,84.6,9.07
10/4/14 9:45,12.14,558,9.47,-64.6,32.1,84.9,9.1
10/4/14 10:00,12.16,559,9.49,-65.1,31.6,85.4,9.15
10/4/14 10:15,12.17,560,9.59,-66.2,31.4,85.7,9.19
10/4/14 10:30,12.2,561,9.56,-68.7,31,86.2,9.23
10/4/14 10:45,12.22,562,9.61,-70.9,30.6,84.4,9.04
10/4/14 11:00,12.23,563,9.35,-63.7,30.2,86.4,9.25
10/4/14 11:15,12.24,563,9.5,-67.1,29.6,87,9.31
10/4/14 11:30,12.24,564,9.57,-68.1,29.5,87.3,9.34
10/4/14 11:45,12.25,565,9.45,-66,29.3,87.6,9.37
10/4/14 12:00,12.26,566,9.73,-71.4,28.9,85.9,9.19
10/4/14 12:15,12.29,566,9.71,-70.2,29.2,86.7,9.27
10/4/14 12:30,12.31,566,9.72,-68.8,28.9,87,9.29
10/4/14 12:45,12.37,568,9.75,-69.5,28.1,88.3,9.42
10/4/14 13:00,12.45,568,9.74,-70.9,28.1,89,9.47
10/4/14 13:15,12.53,569,9.51,-65.1,28.3,89.3,9.49
10/4/14 13:30,12.59,569,9.57,-64.6,27.7,89.6,9.51
10/4/14 13:45,12.67,570,9.31,-53,27,89.9,9.53
10/4/14 14:00,12.76,571,9.6,-64.4,27.3,90.2,9.54
10/4/14 14:15,12.8,572,9.61,-64.6,26.7,90.2,9.53
10/4/14 14:30,12.83,572,9.32,-52.4,27.1,90.4,9.54
10/4/14 14:45,12.86,573,9.7,-59.3,26.7,90.3,9.53
10/4/14 15:00,12.88,574,9.71,-61.7,26.7,90.4,9.53
10/4/14 15:15,12.9,575,9.21,-50.2,26.3,90.3,9.52
10/4/14 15:30,12.93,575,9.22,-49.8,26.5,90,9.48
10/4/14 15:45,12.95,576,9.26,-51.2,26.1,89.9,9.47
10/4/14 16:00,12.96,576,9.4,-54.1,26,90.2,9.49
10/4/14 16:15,12.99,577,9.36,-52.6,25.3,90,9.47
10/4/14 16:30,12.99,578,8.06,-28.6,25.2,89.3,9.39
10/4/14 16:45,12.99,578,9.51,-51.4,25.3,89.5,9.41
10/4/14 17:00,12.98,578,9.45,-53.5,24.5,89.2,9.39
10/4/14 17:15,12.97,579,9.41,-50.2,25,89,9.36
10/4/14 17:30,12.97,579,9.35,-42.9,24.9,88.8,9.34
10/4/14 17:45,12.96,580,9.5,-49.6,24.5,88.4,9.3
10/4/14 18:00,12.96,581,9.5,-45.2,24.8,88.1,9.27
10/4/14 18:15,12.96,582,9.46,-49.9,24.5,87.9,9.26
10/4/14 18:30,12.96,582,9.48,-49.3,24.5,87.6,9.22
10/4/14 18:45,12.97,583,9.57,-46.1,24,87.4,9.2
10/4/14 19:00,12.98,583,9.53,-51.8,24.1,87.2,9.18
10/4/14 19:15,12.97,584,9.75,-54.5,24.2,87.1,9.17
10/4/14 19:30,12.97,584,9.76,-52.4,23.6,86.9,9.14
10/4/14 19:45,12.97,585,9.58,-45.8,23.6,86.8,9.13
10/4/14 20:00,12.96,585,9.3,-44.6,23.7,86.7,9.13
10/4/14 20:15,12.95,585,9.06,-36.4,24.2,85.4,8.99
10/4/14 20:30,12.94,586,9.5,-43.2,23.3,85.9,9.05
10/4/14 20:45,12.93,587,9.05,-39.6,23.4,86.3,9.1
10/4/14 21:00,12.92,587,9.51,-44.8,23.9,86.3,9.1
10/4/14 21:15,12.9,587,9.62,-50.7,23.5,86.2,9.09
10/4/14 21:30,12.89,588,9.52,-42.4,23.6,86.3,9.1
10/4/14 21:45,12.87,589,9.34,-43.2,23.3,86.1,9.09
10/4/14 22:00,12.85,589,9.48,-42.8,23.1,86.2,9.1
10/4/14 22:15,12.83,589,9.37,-39.4,23.5,86.2,9.1
10/4/14 22:30,12.8,590,9.39,-44.5,24.1,86.1,9.1
10/4/14 22:45,12.78,591,9.08,-38.2,23.1,86.2,9.11
10/4/14 23:00,12.75,591,9.01,-35,23.4,85.8,9.07
10/4/14 23:15,12.73,592,9.16,-36.8,23.1,85.7,9.07
10/4/14 23:30,12.71,592,8.28,-23.6,22.7,86.1,9.12
10/4/14 23:45,12.7,592,8.79,-25.2,22.5,86.2,9.13
10/5/14 0:00,12.68,593,8.71,-29.7,22.5,86.3,9.14
10/5/14 0:15,12.66,593,8,-21.3,22.2,86.2,9.14
10/5/14 0:30,12.64,593,8.37,-18.9,22.6,86.2,9.14
10/5/14 0:45,12.63,595,8.31,-25.8,22.6,86.2,9.15
10/5/14 1:00,12.62,595,8.19,-24.3,22.1,86.4,9.16
10/5/14 1:15,12.6,596,8.21,-25.3,21.9,86.4,9.17
10/5/14 1:30,12.58,596,8.14,-24,22.2,86.4,9.17
10/5/14 1:45,12.56,596,8.22,-22.9,21.9,86.5,9.19
10/5/14 2:00,12.54,597,8.19,-25,21.4,86.5,9.19
10/5/14 2:15,12.52,598,8.16,-25.2,21.9,86.6,9.21
10/5/14 2:30,12.5,598,8.23,-23.3,21.5,86.7,9.22
10/5/14 2:45,12.48,599,8.25,-27.7,21.3,86.7,9.23
10/5/14 3:00,12.46,599,8.28,-23.9,21,86.7,9.23
10/5/14 3:15,12.44,600,8.27,-28.7,21.1,86.8,9.25
10/5/14 3:30,12.41,600,8.27,-25.6,21.1,86.8,9.25
10/5/14 3:45,12.4,601,8.29,-26.3,20.9,86.3,9.2
10/5/14 4:00,12.39,601,8.28,-25.5,20.8,86.7,9.25
10/5/14 4:15,12.38,602,8.32,-25.4,20.3,87,9.28
10/5/14 4:30,12.37,602,8.25,-29.4,20.8,87.2,9.3
10/5/14 4:45,12.37,603,8.27,-27.2,20.7,87.1,9.29
10/5/14 5:00,12.37,604,8.3,-25.7,20.6,87.2,9.31
10/5/14 5:15,12.35,604,8.25,-24.3,20.5,87.3,9.32
10/5/14 5:30,12.34,604,8.29,-25.6,21.9,86.7,9.25
10/5/14 5:45,12.33,604,8.29,-26.1,20.4,87.1,9.3
10/5/14 6:00,12.33,605,8.22,-19.5,20.5,87.5,9.34
10/5/14 6:15,12.33,605,8.24,-29.9,19.2,87.6,9.35
10/5/14 6:30,12.33,606,8.93,-30.2,19.2,87.7,9.36
10/5/14 6:45,12.34,606,9.81,-44.9,19.2,88,9.4
10/5/14 7:00,12.36,606,9.63,-37.5,18.9,88.1,9.4
10/5/14 7:15,12.38,608,9.72,-36.3,18.1,87.5,9.34
10/5/14 7:30,12.39,608,9.7,-35.2,19.1,88.4,9.42
10/5/14 7:45,12.42,609,9.68,-35.9,17.7,89.1,9.49
10/5/14 8:00,12.45,608,9.76,-32.6,17.8,89.5,9.53
10/5/14 8:15,12.48,609,9.63,-35.3,17.2,89.8,9.56
10/5/14 8:30,12.51,608,9.49,-28.7,17,90.3,9.6
10/5/14 8:45,12.53,609,9.51,-30.6,16.4,90.3,9.6
10/5/14 9:00,12.58,609,9.58,-34.7,16,91,9.66
10/5/14 9:15,12.64,610,9.49,-26.7,15.8,91.5,9.7
10/5/14 9:30,12.7,610,9.44,-24.6,15.3,92.1,9.75
10/5/14 9:45,12.74,610,8.51,-15.6,15.2,92.3,9.77
10/5/14 10:00,12.79,611,9.47,-27,15,92.7,9.8
10/5/14 10:15,12.85,611,9.07,-26.6,14.7,93,9.82
10/5/14 10:30,12.91,611,9.13,-27.6,14.9,93.3,9.84
10/5/14 10:45,12.96,612,9.21,-26,14.7,93.7,9.86
10/5/14 11:00,13,612,7.14,-9.3,14.1,93.8,9.86
10/5/14 11:15,13.05,612,7.71,-12.4,13.7,94,9.88
